,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM01147,-5.31971,5.57441,-0.77697,-1.27211,0.36134,-1.73156,-1.56046,0.13738,1.37823,-1.48439
SIDM00577,-1.7794,-7.48799,2.12259,-0.66665,1.81579,5.95109,1.71762,0.80787,-1.06591,-3.1269
SIDM00575,-6.68541,7.99406,2.56533,-2.94276,0.53425,7.66206,3.8771,-0.45116,-0.5137,-0.6512
SIDM00574,-2.45133,-3.02557,-0.57013,-2.27805,-1.82621,0.21819,0.57356,1.16771,-0.53856,-1.1014
SIDM00573,-6.34246,2.66023,-2.87464,-2.48458,1.58571,1.68009,-0.40806,1.49456,-0.56324,-1.22779
SIDM00572,-2.1944,-0.45826,3.28377,-0.83963,-1.25969,-1.1373,0.71006,0.63022,0.03739,2.11157
SIDM00444,-3.08133,-4.25267,-4.01372,-1.57872,1.54398,-1.31069,1.13131,0.02735,-2.04336,-0.25373
SIDM00480,-1.4322,-11.95997,0.4171,-9.72855,12.1354,4.75111,-4.91275,-8.46604,6.2089,5.91537
SIDM00220,-1.9673,-1.0667,2.53181,0.69664,-1.77348,0.90134,0.08816,-2.187,-0.63229,-0.04766
SIDM00446,1.31268,-3.48648,7.76931,1.98271,4.84036,-1.76987,2.75563,-1.07505,-3.38983,-0.41022
SIDM00462,1.96667,-5.65231,7.59297,0.39097,6.43287,-1.92028,-0.17135,-0.87625,-2.6879,-0.48558
SIDM00460,1.91226,-7.28262,8.15372,2.07449,5.51291,2.9427,5.59505,-2.34317,-2.49327,-1.09655
